year,state_name,population,violent_crime,property_crime,crime_rate
2021,Oregon,4256301,14526,114532,2.6908811195448816
2021,Pennsylvania,13012059,36664,162165,1.246267020461558
2021,Rhode Island,1096985,2199,13474,1.228275682894479
2021,South Carolina,5193266,26685,129509,2.4937871466626205
2021,South Dakota,896164,3511,15038,1.6780410728393464
2021,Tennessee,6968351,46813,157193,2.2558134628981805
2021,Texas,29558864,133909,642003,2.1719474740301252
2021,Utah,3339113,8653,70096,2.0992401275428536
2021,Virginia,8657365,19526,125478,1.4493786504323198
2021,Vermont,646972,1255,8953,1.3838311395238125
2021,Washington,7740745,25987,234972,3.0355217747128993
2021,Wisconsin,5880101,19134,90409,1.537541617057258
2021,West Virginia,1785526,5205,24225,1.356743054987718
2021,Wyoming,579483,1297,9769,1.685813043695846
2022,Alabama,5074296,"22,232",93113,1.8349934651033366
2022,Alaska,733583,"5,627",13311,1.8145186025303204
2022,Arizona,7359197,"32,835",151613,2.060184011924127
2022,Arkansas,3045637,"19,895",75176,2.4683177936175587
2022,California,39029342,"196,537",921693,2.3615386598113797
2022,Colorado,5839926,"29,221",185350,3.173841586348868
2022,Connecticut,3626205,"5,569",54671,1.5076643488164625
2022,Delaware,1018396,"3,996",20201,1.983609519283265
2022,District of Columbia,671803,"5,478",24023,3.57589948243756
2022,Florida,22244823,"65,158",357443,1.606859267884487
2022,Georgia,10912876,"40,513",186463,1.708651321613111
2022,Hawaii,1440196,"3,978",35742,2.481745540190363
2022,Idaho,1939033,"4,823",18250,0.9411907894295765
2022,Illinois,12582032,"36,555",212960,1.6925723921223534
2022,Indiana,6833037,"21,273",103912,1.5207293623611287
2022,Iowa,3200517,"9,305",44864,1.4017735259647113
2022,Kansas,2937150,"13,125",62322,2.1218528165057964
2022,Kentucky,4512310,"9,924",67055,1.4860459498571685
2022,Louisiana,4590241,"29,364",126655,2.7592233174685163
2022,Maine,1385340,"1,462",16922,1.2215051900616456
2022,Maryland,6164660,"26,171",105629,1.7134602719371386
2022,Massachusetts,6981974,"22,636",75041,1.0747820029120705
2022,Michigan,10034113,"46,489",155469,1.5494045163732957
2022,Minnesota,5717184,"16,195",113019,1.9768298518991168
2022,Mississippi,2940057,"7,172",51147,1.7396601494460822
2022,Missouri,6177957,"30,541",146445,2.370443821476906
2022,Montana,1122867,"4,816",21841,1.9451101510686484
2022,Nebraska,1967923,"5,602",37263,1.8935192078145333
2022,Nevada,3177772,"14,597",76224,2.3986617038604408
2022,New Hampshire,1395231,"1,794",14410,1.03280388695492
2022,New Jersey,9261699,"20,185",133241,1.43862373415504
2022,New Mexico,2113344,"16,416",62897,2.9761837164228826
2022,New York,19677151,"84,499",338321,1.7193596776281281
2022,North Carolina,10698973,"43,361",221436,2.069693979038923
2022,North Dakota,779261,"2,226",15646,2.007799697405619
